Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
1,Brasil,30,Número-índice,174.33,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201403,3º trimestre 2014,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,175.24,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201404,4º trimestre 2014,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,173.84,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201501,1º trimestre 2015,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,169.76,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201502,2º trimestre 2015,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,166.96,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201503,3º trimestre 2015,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,165.68,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201504,4º trimestre 2015,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,163.31,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201601,1º trimestre 2016,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,163.74,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201602,2º trimestre 2016,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,162.87,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201603,3º trimestre 2016,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,162.68,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201604,4º trimestre 2016,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,164.36,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201701,1º trimestre 2017,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,165.74,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201702,2º trimestre 2017,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,166.10,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201703,3º trimestre 2017,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,167.00,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201704,4º trimestre 2017,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,168.04,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201801,1º trimestre 2018,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,167.83,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201802,2º trimestre 2018,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,169.44,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201803,3º trimestre 2018,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,169.02,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201804,4º trimestre 2018,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,169.51,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201901,1º trimestre 2019,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,170.50,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201902,2º trimestre 2019,90707,PIB a preços de mercado
