Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês,valor_numerico
1,Brasil,2,%,0.95,1,Brasil,63,IPCA - Variação mensal,199911,novembro 1999,95.0
1,Brasil,2,%,0.60,1,Brasil,63,IPCA - Variação mensal,199912,dezembro 1999,60.0
1,Brasil,2,%,0.62,1,Brasil,63,IPCA - Variação mensal,200001,janeiro 2000,62.0
1,Brasil,2,%,0.13,1,Brasil,63,IPCA - Variação mensal,200002,fevereiro 2000,13.0
1,Brasil,2,%,0.22,1,Brasil,63,IPCA - Variação mensal,200003,março 2000,22.0
1,Brasil,2,%,0.42,1,Brasil,63,IPCA - Variação mensal,200004,abril 2000,42.0
1,Brasil,2,%,0.01,1,Brasil,63,IPCA - Variação mensal,200005,maio 2000,1.0
1,Brasil,2,%,0.23,1,Brasil,63,IPCA - Variação mensal,200006,junho 2000,23.0
1,Brasil,2,%,1.61,1,Brasil,63,IPCA - Variação mensal,200007,julho 2000,161.0
1,Brasil,2,%,1.31,1,Brasil,63,IPCA - Variação mensal,200008,agosto 2000,131.0
1,Brasil,2,%,0.23,1,Brasil,63,IPCA - Variação mensal,200009,setembro 2000,23.0
1,Brasil,2,%,0.14,1,Brasil,63,IPCA - Variação mensal,200010,outubro 2000,14.0
1,Brasil,2,%,0.32,1,Brasil,63,IPCA - Variação mensal,200011,novembro 2000,32.0
1,Brasil,2,%,0.59,1,Brasil,63,IPCA - Variação mensal,200012,dezembro 2000,59.0
1,Brasil,2,%,0.57,1,Brasil,63,IPCA - Variação mensal,200101,janeiro 2001,57.0
1,Brasil,2,%,0.46,1,Brasil,63,IPCA - Variação mensal,200102,fevereiro 2001,46.0
1,Brasil,2,%,0.38,1,Brasil,63,IPCA - Variação mensal,200103,março 2001,38.0
1,Brasil,2,%,0.58,1,Brasil,63,IPCA - Variação mensal,200104,abril 2001,58.0
1,Brasil,2,%,0.41,1,Brasil,63,IPCA - Variação mensal,200105,maio 2001,41.0
1,Brasil,2,%,0.52,1,Brasil,63,IPCA - Variação mensal,200106,junho 2001,52.0
1,Brasil,2,%,1.33,1,Brasil,63,IPCA - Variação mensal,200107,julho 2001,133.0
1,Brasil,2,%,0.70,1,Brasil,63,IPCA - Variação mensal,200108,agosto 2001,70.0
1,Brasil,2,%,0.28,1,Brasil,63,IPCA - Variação mensal,200109,setembro 2001,28.0
1,Brasil,2,%,0.83,1,Brasil,63,IPCA - Variação mensal,200110,outubro 2001,83.0
1,Brasil,2,%,0.71,1,Brasil,63,IPCA - Variação mensal,200111,novembro 2001,71.0
1,Brasil,2,%,0.65,1,Brasil,63,IPCA - Variação mensal,200112,dezembro 2001,65.0
1,Brasil,2,%,0.52,1,Brasil,63,IPCA - Variação mensal,200201,janeiro 2002,52.0
1,Brasil,2,%,0.36,1,Brasil,63,IPCA - Variação mensal,200202,fevereiro 2002,36.0
1,Brasil,2,%,0.60,1,Brasil,63,IPCA - Variação mensal,200203,março 2002,60.0
1,Brasil,2,%,0.80,1,Brasil,63,IPCA - Variação mensal,200204,abril 2002,80.0
1,Brasil,2,%,0.21,1,Brasil,63,IPCA - Variação mensal,200205,maio 2002,21.0
1,Brasil,2,%,0.42,1,Brasil,63,IPCA - Variação mensal,200206,junho 2002,42.0
1,Brasil,2,%,1.19,1,Brasil,63,IPCA - Variação mensal,200207,julho 2002,119.0
1,Brasil,2,%,0.65,1,Brasil,63,IPCA - Variação mensal,200208,agosto 2002,65.0
