Ticker;Nome_Empresa;Setor;Subsetor;Tipo_Ativo
MILS3;MILLS LOCAÇÃO. SERVIÇOS E LOGÍSTICA S.A;Finance;Máq. e Equip. Industriais;stock
PTBL3;PBG S/A;Producer Manufacturing;Produtos para Construção;stock
BMGB4;BANCO BMG S.A.;Finance;Bancos;stock
SEER3;SER EDUCACIONAL S.A.;Consumer Services;Serviços Educacionais;stock
NFLX34;NFLX34;Technology Services;;bdr
BRSR6;BCO ESTADO DO RIO GRANDE DO SUL S.A.;Finance;;stock
ITUB3;ITAU UNIBANCO HOLDING S.A.;Finance;Bancos;stock
CYRE4;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;Finance;;stock
POSI3;POSITIVO TECNOLOGIA S.A.;Electronic Technology;Computadores e Equipamentos;stock
PINE4;BCO PINE S.A.;Finance;;stock
HBOR3;HELBOR EMPREENDIMENTOS S.A.;Consumer Durables;Incorporações;stock
CASH3;MÉLIUZ S.A.;Commercial Services;Programas e Serviços;stock
AZEV3;AZEVEDO E TRAVASSOS S.A.;Industrial Services;Construção Pesada;stock
PRNR3;PRINER SERVIÇOS INDUSTRIAIS S.A.;Industrial Services;Serviços Diversos;stock
TFCO4;TRACK & FIELD CO S.A.;Retail Trade;Vestuário;stock
JSLG3;JSL S.A.;Transportation;Transporte Rodoviário;stock
MTRE3;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Finance;Incorporações;stock
GOLD11;GOLD11;Miscellaneous;;fund
PNVL3;DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;Retail Trade;Medicamentos e Outros Produtos;stock
ENJU3;ENJOEI S.A.;Retail Trade;Programas e Serviços;stock
SANB3;BCO SANTANDER (BRASIL) S.A.;Finance;Bancos;stock
SANB4;BCO SANTANDER (BRASIL) S.A.;Finance;;stock
MYPK3;IOCHPE MAXION S.A.;Producer Manufacturing;Automóveis e Motocicletas;stock
RANI3;IRANI PAPEL E EMBALAGEM S.A.;Process Industries;Embalagens;stock
AURA33;AURA MINERALS INC.;Non-Energy Minerals;;bdr
DIVO11;DIVO11;Miscellaneous;;fund
MEAL3;INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.;Consumer Services;Restaurante e Similares;stock
BBOV11;BBOV11;Miscellaneous;;fund
BOVV11;BOVV11;Miscellaneous;;fund
CAML3;CAMIL ALIMENTOS S.A.;Process Industries;Alimentos Diversos;stock
TRIS3;TRISUL S.A.;Consumer Durables;Incorporações;stock
MELK3;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;Industrial Services;Incorporações;stock
ABCB4;BCO ABC BRASIL S.A.;Finance;Bancos;stock
USIM3;USINAS SID DE MINAS GERAIS S.A.-USIMINAS;Non-Energy Minerals;Siderurgia;stock
AMZO34;AMZO34;Retail Trade;;bdr
MELI34;MELI34;Retail Trade;;bdr
