date,ibc_br,selic,usd_brl,usd_brl_volatility,selic_change,usd_brl_return,ipca_12m,ipca_month,unemployment,pib_index,ibovespa,ifnc,icon,iee,ibovespa_return_1m,ibovespa_return_3m,ibovespa_volatility_3m_ann,ibovespa_drawdown,ifnc_return_1m,ifnc_return_3m,ifnc_volatility_3m_ann,ifnc_drawdown,icon_return_1m,icon_return_3m,icon_volatility_3m_ann,icon_drawdown,iee_return_1m,iee_return_3m,iee_volatility_3m_ann,iee_drawdown,ibc_br_change,pib_change_3m,unemployment_change
2016-05-31,94.07764,14.25,3.5951,0.04261135249631092,0.0,0.04181639040222551,9.28,0.61,11.3,165.68,48471.7,5170.19,2620.75,27039.62,-0.10088572727019784,0.13267884691869347,0.47632878178991056,-0.2932784344486613,-0.10474140617965466,0.1833779277227563,0.5858720894307161,-0.10474140617965466,-0.024633970241241032,0.0525565386422695,0.17054528482024447,-0.08419180341617505,-0.05677466120676633,0.09836250696641335,0.32684094531702895,-0.10622606253662825,-0.007085039684876726,-0.007666506947771934,0.3000000000000007
2016-06-30,94.02558,14.25,3.2098,0.0510324981933327,0.0,-0.10717365302773219,9.32,0.78,11.3,163.31,51526.92,5536.21,2758.47,30786.94,0.06303100572086406,0.02940050068654121,0.3426795263684687,-0.24873306340733703,0.07079430349755045,0.02736251011364388,0.35197049671334263,-0.04136219757994697,0.05254984260230833,0.03356838823776265,0.13445768051913493,-0.03606622683179117,0.13858626711470068,0.10507155861086703,0.3392139572390183,0.0,-0.000553372724910961,-0.0143046837276678,0.0
2016-07-31,93.7981,14.25,3.239,0.0375955624266634,0.0,0.009097140008723192,8.84,0.35,11.4,163.31,57308.2,6116.24,3036.63,36797.87,0.11219921547804534,0.0630248281874588,0.3865007141809994,-0.1644415025070458,0.10477023089803317,0.05907450632718514,0.38951835665492274,0.0,0.10083850830351615,0.13014432774829365,0.21923721888600756,0.0,0.19524285297596977,0.283623194320755,0.4580146034591611,0.0,-0.002419341630224503,-0.0143046837276678,0.09999999999999964
2016-08-31,93.95613,14.25,3.2403,0.035973310311497954,0.0,0.00040135844396416154,8.74,0.52,11.7,163.31,57901.1,6220.22,3049.37,37048.17,0.01034581438607396,0.19453413022444033,0.17645031907430256,-0.15579696938327692,0.017000640916641663,0.20309311650055428,0.15330768214341525,0.0,0.004195440340113876,0.1635486024992845,0.16739071681975612,0.0,0.006802024138897078,0.37014388515814933,0.3349238761001188,0.0,0.0016847889242959102,-0.0143046837276678,0.29999999999999893
2016-09-30,93.64776,14.25,3.2462,0.04118799044894246,0.0,0.0018208190599635632,8.97,0.44,11.9,163.74,58367.04,6143.07,3115.7,36307.19,0.0080471700883058,0.132748474001551,0.2060439158940443,-0.14900352400684092,-0.012403098282697478,0.10961650659928002,0.2111760870728516,-0.012403098282697478,0.021752034026700562,0.1295029490985946,0.17834117292869914,0.0,-0.02000044806531598,0.17930492604981207,0.40634467421687726,-0.02000044806531598,-0.0032820636609872667,0.002633029208254367,0.20000000000000107
2016-10-31,93.39899,14.0,3.1811,0.022778931693971632,-0.25,-0.020054217238617555,8.48,0.08,11.9,163.74,64924.51,7009.21,3128.43,38503.88,0.11234885305131126,0.1329008763143844,0.20634313524546838,-0.0533950459783018,0.14099464925517702,0.14599982996089111,0.28202823593552867,0.0,0.004085759219436991,0.03023088094367754,0.035223380797131845,0.0,0.06050289212687621,0.04636165082381116,0.14200664435877453,0.0,-0.0026564436778840905,0.002633029208254367,0.0
2016-11-30,93.55464,14.0,3.3967,0.05639916974723177,0.0,0.067775297852944,7.87,0.26,11.9,163.74,61906.35,6465.92,2871.78,34789.92,-0.04648722031171282,0.06917398805894881,0.2795773202768811,-0.09740007902406733,-0.07751087497735121,0.03950021060348341,0.38862464063913,-0.07751087497735121,-0.08203795514043777,-0.058238259050229946,0.1923629553319544,-0.08203795514043777,-0.09645677266810515,-0.060954427708575065,0.2718922349991618,-0.09645677266810515,0.0016665062438041556,0.002633029208254367,0.0
2016-12-31,93.05945,13.75,3.2591,0.03936391375168273,-0.25,-0.04050990667412491,6.99,0.18,12.0,162.87,60227.28,6367.49,2824.88,36108.16,-0.027122742658871046,0.03187141235875579,0.3001872988855321,-0.12188106440461488,-0.015222891715332088,0.03653222248810439,0.38994455268885175,-0.09155382703614245,-0.016331334572982636,-0.09334018037680125,0.1558942710972105,-0.09702950042033853,0.037891435220316794,-0.005481834314360334,0.29392875095444704,-0.062220223000902575,-0.005293056549627084,-0.005313301575668783,0.09999999999999964
2017-01-31,93.11925,13.0,3.127,0.029806848995679588,-0.75,-0.04053266239145792,6.29,0.3,12.1,162.87,64670.78,6927.44,2917.73,38661.59,0.07377885901538317,-0.003908077242323449,0.22369642845565765,-0.057094451256584744,0.0879388895781541,-0.011666079344177183,0.28946768583027327,-0.011666079344177183,0.03286865282773066,-0.06735007655597214,0.19970742250290155,-0.06735007655597214,0.07071614837200224,0.004095950849628549,0.30683444488975803,0.0,0.0006425999723831399,-0.005313301575668783,0.09999999999999964
2017-02-28,92.86383,12.25,3.0993,0.02974516175141022,-0.75,-0.00885833066837216,5.35,0.38,12.7,162.87,66662.1,7328.03,2944.12,40518.88,0.03079164964455372,0.0768216830745152,0.17540302292603938,-0.028060833951771835,0.05782655641911005,0.13333137434425413,0.18376793844777703,0.0,0.00904470255986678,0.025189951876536387,0.08523101110703482,-0.058914535405938384,0.0480396693462426,0.16467298573839773,0.05821805820139813,0.0,-0.0027429344630675034,-0.005313301575668783,0.5999999999999996
