date,ibc_br_change,selic,selic_change,usd_brl_return,usd_brl_volatility,ipca_12m,pib_change_3m,unemployment,unemployment_change,target_stress,split
2016-03-31,-0.0047012992952508,14.25,0.0,-0.1057141421248366,0.0796635918871477,10.36,-0.0076665069477719,10.3,0.7000000000000011,1,train
2016-04-30,-0.0014342620748498,14.25,0.0,-0.0303745539352046,0.0531289453337547,9.39,-0.0076665069477719,11.0,0.6999999999999993,1,train
2016-05-31,-0.0070850396848767,14.25,0.0,0.0418163904022255,0.0426113524963109,9.28,-0.0076665069477719,11.3,0.3000000000000007,0,train
2016-06-30,-0.0005533727249109,14.25,0.0,-0.1071736530277321,0.0510324981933327,9.32,-0.0143046837276678,11.3,0.0,1,train
2016-07-31,-0.0024193416302245,14.25,0.0,0.0090971400087231,0.0375955624266634,8.84,-0.0143046837276678,11.4,0.0999999999999996,1,train
2016-08-31,0.0016847889242959,14.25,0.0,0.0004013584439641,0.0359733103114979,8.74,-0.0143046837276678,11.7,0.2999999999999989,1,train
2016-09-30,-0.0032820636609872,14.25,0.0,0.0018208190599635,0.0411879904489424,8.97,0.0026330292082543,11.9,0.200000000000001,0,train
2016-10-31,-0.002656443677884,14.0,-0.25,-0.0200542172386175,0.0227789316939716,8.48,0.0026330292082543,11.9,0.0,1,train
2016-11-30,0.0016665062438041,14.0,0.0,0.067775297852944,0.0563991697472317,7.87,0.0026330292082543,11.9,0.0,0,train
2016-12-31,-0.005293056549627,13.75,-0.25,-0.0405099066741249,0.0393639137516827,6.99,-0.0053133015756687,12.0,0.0999999999999996,0,train
2017-01-31,0.0006425999723831,13.0,-0.75,-0.0405326623914579,0.0298068489956795,6.29,-0.0053133015756687,12.1,0.0999999999999996,0,train
2017-02-28,-0.0027429344630675,12.25,-0.75,-0.0088583306683721,0.0297451617514102,5.35,-0.0053133015756687,12.7,0.5999999999999996,0,train
2017-03-31,0.0059122049995137,12.25,0.0,0.0222953570161004,0.0309324071971156,4.76,-0.0011665745686744,13.3,0.6000000000000014,0,train
2017-04-30,0.0118846591357977,11.25,-1.0,0.0094685014518367,0.034744595647406,4.57,-0.0011665745686744,13.9,0.5999999999999996,1,train
2017-05-31,0.0009117353821883,11.25,0.0,0.0141633316658329,0.0955471231806278,4.08,-0.0011665745686744,13.7,-0.200000000000001,0,train
2017-06-30,-0.0013662516190281,10.25,-1.0,0.0198846995714769,0.0242756881467204,3.6,0.0103270223752152,13.4,-0.2999999999999989,0,train
2017-07-31,-0.0023839976223529,9.25,-1.0,-0.0536545553473186,0.0182081976131826,3.0,0.0103270223752152,13.1,-0.3000000000000007,0,train
2017-08-31,0.0064042416125154,9.25,0.0,0.005238445076181,0.0190918881694802,2.71,0.0103270223752152,12.9,-0.1999999999999993,0,train
2017-09-30,0.0004942105781937,8.25,-1.0,0.0066410346032856,0.0226910328353025,2.46,0.0083962034558286,12.7,-0.200000000000001,0,train
2017-10-31,-0.002755380288315,7.5,-0.75,0.0343749999999998,0.0261498747124216,2.54,0.0083962034558286,12.5,-0.1999999999999993,0,train
2017-11-30,1.458099760021092e-05,7.5,0.0,-0.0046690469651193,0.022672256917328,2.7,0.0083962034558286,12.3,-0.1999999999999993,0,train
2017-12-31,0.0021578505218071,7.0,-0.5,0.0142261466764777,0.0272750116316995,2.8,0.0021720767467117,12.1,-0.200000000000001,0,train
2018-01-31,0.0019519376729453,7.0,0.0,-0.0440145102781136,0.0300369772972527,2.95,0.0021720767467117,11.9,-0.1999999999999993,0,train
2018-02-28,0.0133592565561466,6.75,-0.25,0.0260877814318238,0.026974499144253,2.86,0.0021720767467117,12.3,0.4000000000000003,0,train
2018-03-31,-0.0051025880837642,6.5,-0.25,0.02431507904712,0.0192394450142129,2.84,0.0054184226369657,12.7,0.3999999999999986,0,train
2018-04-30,-0.0039150354540792,6.5,0.0,0.0473253505024371,0.0333984701453326,2.68,0.0054184226369657,13.2,0.5,0,train
2018-05-31,0.0002638374241754,6.5,0.0,0.0735112464450891,0.0422010081203079,2.76,0.0054184226369657,13.0,-0.1999999999999993,0,train
2018-06-30,0.0057017009987352,6.5,0.0,0.0317902060476318,0.0568543018117981,2.86,0.0062275449101796,12.8,-0.1999999999999993,0,train
2018-07-31,-0.0307295173353954,6.5,0.0,-0.0261683697287202,0.0413427119067518,4.39,0.0062275449101796,12.6,-0.200000000000001,0,train
2018-08-31,0.0290132509406351,6.5,0.0,0.1013076247037203,0.0413154155682964,4.48,0.0062275449101796,12.4,-0.1999999999999993,0,train
2018-09-30,0.0032622270594833,6.5,0.0,-0.0317752037337073,0.0424771215854132,4.19,-0.0012497024517971,12.2,-0.200000000000001,0,train
