date,ibc_br,selic,usd_brl,usd_brl_volatility,selic_change,usd_brl_return,ipca_12m,ipca_month,unemployment,pib_index,ibovespa,ifnc,icon,iee,ibovespa_return_1m,ibovespa_return_3m,ibovespa_volatility_3m_ann,ibovespa_drawdown,ifnc_return_1m,ifnc_return_3m,ifnc_volatility_3m_ann,ifnc_drawdown,icon_return_1m,icon_return_3m,icon_volatility_3m_ann,icon_drawdown,iee_return_1m,iee_return_3m,iee_volatility_3m_ann,iee_drawdown,ibc_br_change,pib_change_3m,unemployment_change,stress_score,target_p75,target_p80,target_p90,target_stress
2019-04-30,96.39425,6.5,3.9453,0.0228785741745505,0.0,0.0124720917699592,4.58,0.75,12.8,169.02,96353.33,11142.39,3928.49,58734.74,0.0098388547827501,-0.0106826156709234,0.0494922975631684,-0.0106826156709234,0.0125349290514291,-0.0329104453646508,0.0710508302565566,-0.0329104453646508,0.0835360572812373,0.0288368365641973,0.2262700512992819,0.0,0.0223757412409244,0.0527246484195975,0.0515676138210158,0.0,-0.0057088506783709,-0.0024787535410764,0.3000000000000007,0.07972446259760134,0,0,0,0
2019-05-31,95.79732,6.5,3.9407,0.036509373630619,0.0,-0.0011659442881403,4.94,0.57,12.6,169.02,97030.32,11628.26,3967.14,61954.74,0.0070261193878822,0.015127685651469,0.0209908261640546,-0.00373155361612,0.0436055460273783,0.0354925202743796,0.1102782077179533,0.0,0.0098383857410861,0.0856651824931378,0.167833343681802,0.0,0.0548227505561444,0.1097737524464206,0.0593442531246048,0.0,-0.0061925892882614,-0.0024787535410764,-0.200000000000001,-0.05143272021356922,0,0,0,0
2019-06-30,95.77798,6.5,3.8322,0.0276735386822063,0.0,-0.0275331793843733,4.66,0.13,12.4,169.51,100967.2,12005.39,4126.17,63830.97,0.0405737093312688,0.0581948918487911,0.0644667907612863,0.0,0.0324321953585489,0.0909577489106678,0.0545184044324723,0.0,0.0400868131701932,0.1380591457461069,0.1283288819104652,0.0,0.0302838814269901,0.1110840921042166,0.058608927525457,0.0,-0.0002018845621151,0.0028990651993845,-0.1999999999999993,-0.346353255978253,0,0,0,0
2019-07-31,97.10725,6.5,3.7649,0.0241633122375585,0.0,-0.0175617138980219,3.37,0.01,12.1,169.51,101812.13,11854.86,4513.14,66282.51,0.0083683612103733,0.0566539838322142,0.0657940248306441,0.0,-0.0125385347747969,0.0639422960424112,0.1029501640893897,-0.0125385347747969,0.0937843084506939,0.1488230846966647,0.147277332274188,0.0,0.0384067483229535,0.1285060596165064,0.0433040920483819,0.0,0.0138786597921567,0.0028990651993845,-0.3000000000000007,-0.627946349232596,0,0,0,0
2019-08-31,96.5971,6.0,4.1385,0.0367996183405004,-0.5,0.0992323833302344,3.22,0.19,11.9,169.51,101134.61,11994.7,4715.25,67856.73,-0.0066546098190855,0.0422990463187176,0.0835869396007263,-0.0066546098190855,0.0117960060262205,0.031512883268864,0.0779793402752602,-0.0008904333803398,0.0447825682340896,0.1885766572392202,0.1030207907101772,0.0,0.0237501567155498,0.0952629290349698,0.0254356522527169,0.0,-0.0052534697460796,0.0028990651993845,-0.1999999999999993,-0.030242654461400904,0,0,0,0
2019-09-30,96.39424,5.5,4.1644,0.0283509097800724,-0.5,0.0062583061495711,3.43,0.11,11.9,170.5,104745.32,12245.31,4839.88,68121.98,0.0357020212961716,0.0374192807169062,0.0743895534557356,0.0,0.0208933945826073,0.0199843570263023,0.0598769781318469,0.0,0.02643126027252,0.1729715450405582,0.1206181922186479,0.0,0.0039089711514244,0.0672245776619091,0.0599764112282933,0.0,-0.0021000630453709,0.0058403634003894,0.0,-0.3722578233320601,0,0,0,0
2019-10-31,96.62189,5.0,4.0041,0.029595350955799,-0.5,-0.0384929401594466,2.89,-0.04,11.9,170.5,107219.83,12846.17,4744.5,67949.19,0.0236240626311514,0.0531144962785867,0.0755878203191046,0.0,0.0490685821755432,0.0836205573072983,0.0673178818331379,0.0,-0.0197071001760374,0.0512636434943298,0.1151037457290556,-0.0197071001760374,-0.0025364794153075,0.0251450948372353,0.0474595346937632,-0.0025364794153075,0.0023616556341954,0.0058403634003894,0.0,-0.594843408546515,0,0,0,0
2019-11-30,96.94457,5.0,4.224,0.0257982987323728,0.0,0.0549187083239679,2.54,0.1,11.7,170.5,108233.28,12545.49,4886.19,69397.56,0.009452076169119,0.0701903136819332,0.0455144351819776,0.0,-0.0234061981119664,0.0459194477560922,0.1265613597155558,-0.0234061981119664,0.029864053114132,0.0362525846985843,0.0958940207738933,0.0,0.021315485879964,0.0227071065758694,0.0427421767449859,0.0,0.0033396158986334,0.0058403634003894,-0.200000000000001,-0.2745936219867419,0,0,0,0
2019-12-31,98.08033,4.5,4.0307,0.0162909695937789,-0.5,-0.0457623106060605,3.27,0.51,11.3,170.54,115645.34,13220.73,5278.33,76627.21,0.0684822634960338,0.1040621194340709,0.1067489241253961,0.0,0.0538233261514695,0.0796566195547519,0.1499306558776833,0.0,0.0802547588202668,0.0905910890352652,0.1731409582627797,0.0,0.1041772938414551,0.1248529476095676,0.194024868868862,0.0,0.0117155607580703,0.0002346041055718,-0.3999999999999986,-0.9708916680018713,0,0,0,0
2020-01-31,97.91976,4.5,4.2695,0.0236855473976725,0.0,0.0592452923809758,4.31,1.15,11.1,170.54,113760.57,12722.87,5471.42,78308.77,-0.0162978465020725,0.0610030812397297,0.1505675169796858,-0.0162978465020725,-0.0376575272318547,-0.0095981915232321,0.1705065766202666,-0.0376575272318547,0.0365816460888197,0.153213194224892,0.0947806947916034,0.0,0.0219446851842837,0.1524606842259634,0.1650980135372623,0.0,-0.0016371274444122,0.0002346041055718,-0.200000000000001,-0.07433035426508312,0,0,0,0
