date,ibc_br,selic,usd_brl,usd_brl_volatility,selic_change,usd_brl_return
2020-07-31,91.74207,2.25,5.2033,0.0504377682348819,0.0,-0.04979912344777215
2020-08-31,93.49745,2.0,5.4713,0.053745538652862766,-0.25,0.051505775181135194
2020-09-30,95.36272,2.0,5.6407,0.04964121043484772,0.0,0.030961563065450504
2020-10-31,97.30806,2.0,5.7718,0.03754346912510507,0.0,0.02324179623096434
2020-11-30,97.51715,2.0,5.3317,0.06500284764208182,0.0,-0.07625004331404417
2020-12-31,97.68045,2.0,5.1967,0.03340065047292558,0.0,-0.02532025432788787
2021-01-31,97.80489,2.0,5.4759,0.06473261987496076,0.0,0.053726403294398484
2021-02-28,98.71949,2.0,5.5302,0.041530004378890074,0.0,0.009916178162493683
2021-03-31,95.32458,2.75,5.6973,0.06576060767003652,0.75,0.030215905392210196
2021-04-30,96.34302,2.75,5.4036,0.02837116745449423,0.0,-0.05155073455847514
2021-05-31,97.01772,3.5,5.2322,0.03133501462971917,0.75,-0.031719594344511104
2021-06-30,96.77124,4.25,5.0022,0.03307456855382927,0.75,-0.04395856427506584
2021-07-31,96.43007,4.25,5.1216,0.0451873895035212,0.0,0.023869497421134644
2021-08-31,97.01608,5.25,5.1433,0.04779439974765489,1.0,0.004236957200874691
2021-09-30,96.95313,6.25,5.4394,0.02879166804157971,1.0,0.0575700425796668
2021-10-31,97.47791,7.75,5.643,0.0400766456556736,1.5,0.037430598963120953
2021-11-30,99.05295,7.75,5.6199,0.03296751884080453,0.0,-0.004093567251461927
2021-12-31,99.36759,9.25,5.5805,0.028731393616244997,1.5,-0.007010800903930803
2022-01-31,97.41759,9.25,5.3574,0.033795365695460725,0.0,-0.03997849655048824
2022-02-28,98.48287,10.75,5.1394,0.03515561625312987,1.5,-0.04069138014708629
2022-03-31,99.54331,11.75,4.7378,0.03893537016715778,1.0,-0.07814141728606461
2022-04-30,99.44726,11.75,4.9191,0.060590006404130516,0.0,0.038266706066106604
2022-05-31,99.65249,12.75,4.7289,0.0441063931604191,1.0,-0.03866560956272491
2022-06-30,99.53078,13.25,5.238,0.036687509044793634,0.5,0.10765717185814894
2022-07-31,101.43252,13.25,5.1884,0.04576785436019635,0.0,-0.009469263077510615
2022-08-31,101.09886,13.75,5.179,0.04487614113853054,0.5,-0.0018117338678589334
2022-09-30,101.15209,13.75,5.4066,0.041635009904989646,0.0,0.04394670785865995
2022-10-31,101.43094,13.75,5.257,0.05764199321847003,0.0,-0.027669884955424884
2022-11-30,100.7113,13.75,5.2941,0.0647575783502493,0.0,0.007057256990679273
2022-12-31,100.58566,13.75,5.2177,0.043191004463253725,0.0,-0.014431159214975287
2023-01-31,100.10937,13.75,5.0993,0.04984148630483055,0.0,-0.02269199072388206
2023-02-28,103.08344,13.75,5.2078,0.04652126262258436,0.0,0.02127743023552231
2023-03-31,103.08526,13.75,5.0804,0.02900037236512596,0.0,-0.024463305042436323
2023-04-30,103.96006,13.75,5.0007,0.03351800716899411,0.0,-0.01568774112274618
2023-05-31,102.40467,13.75,5.0959,0.02807950500587314,0.0,0.019037334773131853
2023-06-30,102.4398,13.75,4.8192,0.028628312944234884,0.0,-0.05429855373928061
2023-07-31,102.89895,13.75,4.7415,0.028310308642657312,0.0,-0.01612300796812749
2023-08-31,102.48797,13.25,4.9219,0.03210471835070889,-0.5,0.03804703153010647
2023-09-30,102.50227,12.75,5.0076,0.031391037712907736,-0.5,0.017411975050285466
2023-10-31,102.83037,12.75,5.0575,0.03403580083064707,0.0,0.009964853422797404
2023-11-30,103.58799,12.25,4.9355,0.03395258357003533,-0.5,-0.024122590212555584
2023-12-31,104.88262,11.75,4.8413,0.029342535417238615,-0.5,-0.019086212136561587
2024-01-31,104.47589,11.75,4.9535,0.023283882944730556,0.0,0.023175593332369404
2024-02-29,104.67291,11.25,4.9833,0.02158634784822544,-0.5,0.006015948319370024
2024-03-31,104.68779,10.75,4.9962,0.015217032889686549,-0.5,0.002588646077900103
2024-04-30,104.6751,10.75,5.1718,0.03507156298354902,0.0,0.03514671150074067
2024-05-31,105.5521,10.5,5.2416,0.027103239171696072,-0.25,0.0134962682238291
2024-06-30,106.65779,10.5,5.5589,0.03093750690428341,0.0,0.06053495115995133
2024-07-31,107.01873,10.5,5.6621,0.03571827823593724,0.0,0.01856482397596637
2024-08-31,107.16697,10.5,5.6562,0.04261856190325556,0.0,-0.0010420162130657662
2024-09-30,108.02415,10.75,5.4481,0.03314480533066731,0.25,-0.036791485449595096
2024-10-31,108.23273,10.75,5.7779,0.02295226340556561,0.0,0.06053486536590724
2024-11-30,107.99539,11.25,6.0535,0.0433790049551157,0.5,0.047698990982883105
2024-12-31,107.3722,12.25,6.1923,0.04144284856006896,1.0,0.022928884116626858
2025-01-31,108.10202,13.25,5.8301,0.02797857197052992,1.0,-0.0584919981267058
2025-02-28,108.64347,13.25,5.8488,0.02464244570208295,0.0,0.0032074921527931455
2025-03-31,110.0586,14.25,5.7422,0.02809246291344861,1.0,-0.018225960880864367
2025-04-30,109.59971,14.25,5.6608,0.06004551696437483,0.0,-0.014175751454146512
2025-05-31,108.80425,14.75,5.7087,0.030847536582895272,0.5,0.008461701526286003
2025-06-30,108.90168,15.0,5.4571,0.021343449388712552,0.25,-0.044073081437104866
2025-07-31,108.39998,15.0,5.6021,0.022194407747055132,0.0,0.026570889300177924
2025-08-31,108.79892,15.0,5.4264,0.024064963367495622,0.0,-0.03136323878545544
2025-09-30,108.7209,15.0,5.3186,0.02158043534714119,0.0,-0.019865841073271384
2025-10-31,108.73364,15.0,5.3843,0.026125947005527596,0.0,0.012352874816681014
2025-11-30,109.24151,15.0,5.3338,0.022606756553145695,0.0,-0.009379120777074035
2025-12-31,109.46142,15.0,5.5024,0.031074262479967134,0.0,0.03160973414826196
2026-01-31,110.07661,15.0,5.2301,0.0221944395475265,0.0,-0.04948749636522232
2026-02-28,110.77581,15.0,5.1495,0.023218378791794378,0.0,-0.015410795204680694
2026-03-31,110.60765,14.75,5.2194,0.03886938663051289,-0.25,0.01357413341101088
2026-04-30,110.90086,14.5,4.9886,0.02830797587883113,-0.25,-0.0442196421044565
2026-05-31,110.93102,14.5,5.0569,0.03029491656692841,0.0,0.013691215972417181
2026-06-30,110.22154,14.25,5.1766,0.03542268259542325,-0.25,0.02367062825050925
2026-07-31,,14.25,5.0773,0.01957136504112069,0.0,-0.019182474983579834
2026-08-31,,14.0,5.1625,0.020758946410863625,-0.25,0.016780572351446477
