Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores,valor_numerico
1,Brasil,30,Número-índice,113.07,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200102,2º trimestre 2001,90707,PIB a preços de mercado,11307
1,Brasil,30,Número-índice,112.47,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200103,3º trimestre 2001,90707,PIB a preços de mercado,11247
1,Brasil,30,Número-índice,112.16,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200104,4º trimestre 2001,90707,PIB a preços de mercado,11216
1,Brasil,30,Número-índice,114.94,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200201,1º trimestre 2002,90707,PIB a preços de mercado,11494
1,Brasil,30,Número-índice,115.19,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200202,2º trimestre 2002,90707,PIB a preços de mercado,11519
1,Brasil,30,Número-índice,116.80,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200203,3º trimestre 2002,90707,PIB a preços de mercado,11680
1,Brasil,30,Número-índice,118.00,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200204,4º trimestre 2002,90707,PIB a preços de mercado,11800
1,Brasil,30,Número-índice,117.47,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200301,1º trimestre 2003,90707,PIB a preços de mercado,11747
1,Brasil,30,Número-índice,116.48,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200302,2º trimestre 2003,90707,PIB a preços de mercado,11648
1,Brasil,30,Número-índice,117.58,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200303,3º trimestre 2003,90707,PIB a preços de mercado,11758
1,Brasil,30,Número-índice,118.81,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200304,4º trimestre 2003,90707,PIB a preços de mercado,11881
1,Brasil,30,Número-índice,120.44,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200401,1º trimestre 2004,90707,PIB a preços de mercado,12044
1,Brasil,30,Número-índice,123.76,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200402,2º trimestre 2004,90707,PIB a preços de mercado,12376
1,Brasil,30,Número-índice,125.34,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200403,3º trimestre 2004,90707,PIB a preços de mercado,12534
1,Brasil,30,Número-índice,126.30,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200404,4º trimestre 2004,90707,PIB a preços de mercado,12630
1,Brasil,30,Número-índice,127.42,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200501,1º trimestre 2005,90707,PIB a preços de mercado,12742
1,Brasil,30,Número-índice,128.74,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200502,2º trimestre 2005,90707,PIB a preços de mercado,12874
1,Brasil,30,Número-índice,128.02,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200503,3º trimestre 2005,90707,PIB a preços de mercado,12802
1,Brasil,30,Número-índice,129.64,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200504,4º trimestre 2005,90707,PIB a preços de mercado,12964
1,Brasil,30,Número-índice,131.75,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200601,1º trimestre 2006,90707,PIB a preços de mercado,13175
1,Brasil,30,Número-índice,132.14,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200602,2º trimestre 2006,90707,PIB a preços de mercado,13214
1,Brasil,30,Número-índice,134.35,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200603,3º trimestre 2006,90707,PIB a preços de mercado,13435
1,Brasil,30,Número-índice,135.92,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200604,4º trimestre 2006,90707,PIB a preços de mercado,13592
1,Brasil,30,Número-índice,138.49,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200701,1º trimestre 2007,90707,PIB a preços de mercado,13849
1,Brasil,30,Número-índice,140.80,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200702,2º trimestre 2007,90707,PIB a preços de mercado,14080
1,Brasil,30,Número-índice,142.26,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200703,3º trimestre 2007,90707,PIB a preços de mercado,14226
1,Brasil,30,Número-índice,144.42,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200704,4º trimestre 2007,90707,PIB a preços de mercado,14442
1,Brasil,30,Número-índice,146.26,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200801,1º trimestre 2008,90707,PIB a preços de mercado,14626
1,Brasil,30,Número-índice,149.18,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200802,2º trimestre 2008,90707,PIB a preços de mercado,14918
1,Brasil,30,Número-índice,151.64,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200803,3º trimestre 2008,90707,PIB a preços de mercado,15164
1,Brasil,30,Número-índice,145.92,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200804,4º trimestre 2008,90707,PIB a preços de mercado,14592
1,Brasil,30,Número-índice,143.82,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200901,1º trimestre 2009,90707,PIB a preços de mercado,14382
1,Brasil,30,Número-índice,146.48,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200902,2º trimestre 2009,90707,PIB a preços de mercado,14648
1,Brasil,30,Número-índice,149.90,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200903,3º trimestre 2009,90707,PIB a preços de mercado,14990
1,Brasil,30,Número-índice,153.77,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),200904,4º trimestre 2009,90707,PIB a preços de mercado,15377
1,Brasil,30,Número-índice,156.93,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201001,1º trimestre 2010,90707,PIB a preços de mercado,15693
1,Brasil,30,Número-índice,158.94,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201002,2º trimestre 2010,90707,PIB a preços de mercado,15894
1,Brasil,30,Número-índice,160.34,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201003,3º trimestre 2010,90707,PIB a preços de mercado,16034
1,Brasil,30,Número-índice,162.63,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201004,4º trimestre 2010,90707,PIB a preços de mercado,16263
1,Brasil,30,Número-índice,164.80,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201101,1º trimestre 2011,90707,PIB a preços de mercado,16480
1,Brasil,30,Número-índice,166.48,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201102,2º trimestre 2011,90707,PIB a preços de mercado,16648
1,Brasil,30,Número-índice,166.11,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201103,3º trimestre 2011,90707,PIB a preços de mercado,16611
1,Brasil,30,Número-índice,167.61,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201104,4º trimestre 2011,90707,PIB a preços de mercado,16761
1,Brasil,30,Número-índice,165.23,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201201,1º trimestre 2012,90707,PIB a preços de mercado,16523
1,Brasil,30,Número-índice,168.22,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201202,2º trimestre 2012,90707,PIB a preços de mercado,16822
1,Brasil,30,Número-índice,171.10,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201203,3º trimestre 2012,90707,PIB a preços de mercado,17110
1,Brasil,30,Número-índice,171.16,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201204,4º trimestre 2012,90707,PIB a preços de mercado,17116
1,Brasil,30,Número-índice,172.09,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201301,1º trimestre 2013,90707,PIB a preços de mercado,17209
1,Brasil,30,Número-índice,174.44,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201302,2º trimestre 2013,90707,PIB a preços de mercado,17444
1,Brasil,30,Número-índice,175.28,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201303,3º trimestre 2013,90707,PIB a preços de mercado,17528
1,Brasil,30,Número-índice,175.56,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201304,4º trimestre 2013,90707,PIB a preços de mercado,17556
1,Brasil,30,Número-índice,177.03,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201401,1º trimestre 2014,90707,PIB a preços de mercado,17703
1,Brasil,30,Número-índice,174.43,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201402,2º trimestre 2014,90707,PIB a preços de mercado,17443
1,Brasil,30,Número-índice,174.33,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201403,3º trimestre 2014,90707,PIB a preços de mercado,17433
1,Brasil,30,Número-índice,175.24,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201404,4º trimestre 2014,90707,PIB a preços de mercado,17524
1,Brasil,30,Número-índice,173.84,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201501,1º trimestre 2015,90707,PIB a preços de mercado,17384
1,Brasil,30,Número-índice,169.76,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201502,2º trimestre 2015,90707,PIB a preços de mercado,16976
1,Brasil,30,Número-índice,166.96,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201503,3º trimestre 2015,90707,PIB a preços de mercado,16696
1,Brasil,30,Número-índice,165.68,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201504,4º trimestre 2015,90707,PIB a preços de mercado,16568
1,Brasil,30,Número-índice,163.31,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201601,1º trimestre 2016,90707,PIB a preços de mercado,16331
1,Brasil,30,Número-índice,163.74,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201602,2º trimestre 2016,90707,PIB a preços de mercado,16374
1,Brasil,30,Número-índice,162.87,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201603,3º trimestre 2016,90707,PIB a preços de mercado,16287
1,Brasil,30,Número-índice,162.68,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201604,4º trimestre 2016,90707,PIB a preços de mercado,16268
1,Brasil,30,Número-índice,164.36,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201701,1º trimestre 2017,90707,PIB a preços de mercado,16436
1,Brasil,30,Número-índice,165.74,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201702,2º trimestre 2017,90707,PIB a preços de mercado,16574
1,Brasil,30,Número-índice,166.10,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201703,3º trimestre 2017,90707,PIB a preços de mercado,16610
1,Brasil,30,Número-índice,167.00,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201704,4º trimestre 2017,90707,PIB a preços de mercado,16700
1,Brasil,30,Número-índice,168.04,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201801,1º trimestre 2018,90707,PIB a preços de mercado,16804
1,Brasil,30,Número-índice,167.83,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201802,2º trimestre 2018,90707,PIB a preços de mercado,16783
1,Brasil,30,Número-índice,169.44,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201803,3º trimestre 2018,90707,PIB a preços de mercado,16944
1,Brasil,30,Número-índice,169.02,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201804,4º trimestre 2018,90707,PIB a preços de mercado,16902
1,Brasil,30,Número-índice,169.51,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201901,1º trimestre 2019,90707,PIB a preços de mercado,16951
1,Brasil,30,Número-índice,170.50,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201902,2º trimestre 2019,90707,PIB a preços de mercado,17050
